No,SRn,Vp,Is50,UCS
318,39.2,4298,3.39,55.1
319,48.9,4628,5.36,55.7
320,54.5,3453,6.55,57
321,52.7,4545,5.17,57.4
322,53.1,4660,3.7,58.3
323,53.6,4289,8.19,60.3
324,51.8,4587,4.91,61.4
325,51.2,4528,6.47,61.7
326,55.3,4333,5.4,62.3
327,47.1,4920,6.35,62.5
328,45.4,4772,4.07,62.8
329,50.8,5184,6.22,64.6
330,49,4809,7.12,65
331,48.9,5202,4.83,66.5
332,42.5,5282,5.84,69.8
333,56.3,4714,7,70.2
334,43.8,5154,4.53,71.6
335,49.7,4571,7.85,71.9
336,53.4,4989,5.62,72.1
337,42.3,5661,5.11,72.9
338,45.9,5281,5.83,77.4
339,50.4,4819,6.24,78
340,50.1,5367,7.78,81.9
341,56.5,4993,6.4,85.4
342,44.9,4875,7.4,86.3
343,50.8,4960,7.95,91
344,27.1,2780,1.84,20.5
345,30.8,2519,2.17,22.5
346,39.5,1160,2.07,20.6
347,45.6,2915,1.78,25.9
348,44.3,4811,3.39,40
349,37.3,4801,1.9,30.2
350,34.6,3422,3.8,30.5
351,36.2,3732,2.13,32
352,35,2100,3.97,37.1
353,31.9,3349,2.75,34.2
354,46.2,4816,3.87,70.2
355,43.5,3916,4.51,37.2
356,31.3,3560,3.21,40.4
357,40.3,4611,3.96,62.8
358,40,3628,4.25,44.1
359,45.5,4363,5.23,45.6
360,40.9,4397,5.44,66.6
361,43.6,4944,4.29,49.8
362,40.8,4354,6.31,51.8
363,43.5,4560,4.22,55.7
364,37.6,4622,5.18,65.9
365,45.6,4379,5.66,56.7
366,42,5082,4.94,60.3
367,50.7,3786,5.88,60.7
368,42.5,4875,7.09,61.3
369,48.3,4650,5.61,62.3
370,41.9,4544,6.2,64.4
371,49.7,4759,6.85,65.6
372,48.9,5466,5.63,67.2
373,49.2,5411,7.48,76.2
374,56,4324,5.8,63
375,60,3244,6,98
376,54,4120,8.9,141
377,28,1476,7.5,101
378,48,2303,5.5,73
379,60,3554,13,88
380,55,5531,3.7,52
381,62,5288,6.1,111
382,58,4944,6.7,79
383,39,3300,3.1,54
384,38,3704,10,100
385,38,2858,12.6,145
386,62,2812,8.5,122
387,38,3966,5.4,46
388,48,2375,7.2,86
389,49,2509,15,92
390,42,4432,7,50
391,72,5418,15,125
392,70,5010,13,109
393,46,4533,5,86
394,68,2110,19,140
395,44,2682,11,70
396,48,2755,15,106
397,40,2614,10.3,63
398,30,2826,6.6,43
399,26,2454,5.4,28
400,32,4918,8,42
401,58,5400,20,100
402,43,5334,12,81
403,26,3185,5,30
404,12,4175,1.2,8
405,34,3929,4,13
406,38,4153,10,73
407,35,4084,6.1,51
408,43,5083,15,117
409,44,4544,7.4,40
410,38,3297,3.8,92
411,35,2573,10.5,47
412,30,2108,8.8,32
413,35,3721,15,50
414,29,3303,5,26
415,32,5615,12.5,45
416,22,4940,4.1,51
417,22,1857,3,10
418,21,1705,4.2,9
419,10,5245,6,18
420,28,4568,7,60
421,32,4883,23.1,28
422,20,4431,8.6,24
423,34,4784,15,82
424,62,6452,14.6,149
425,60,6273,16.7,132
426,24,5827,18.9,32
427,33,6300,17.3,45
428,34,6818,5.8,40
429,58,3816,6.5,62
430,48,2073,7,69
431,43,3152,5.3,52
432,57,4815,6.5,65
433,30,7846,3.2,28
434,47,5506,2.31,117.9
435,38,6450,2.87,122.3
436,52,6148,3.89,166.3
437,46,5920,1.82,138.6
438,45,5950,3.12,124.7
439,44,4780,2.4,110.9
440,57,6102,4.56,152.4
441,56,5020,3.01,106.7
442,52,6910,7.1,180.1
443,51,5217,6.22,149
444,47,5025,1.73,95.6
445,49,4910,3.79,80.5
446,47,4670,3.34,78.8
447,50,5345,1.93,107.6
448,45,6190,3.14,101.9
449,48,4568,2.45,81.5
450,57,5785,1.98,117.9
451,57,7002,4.97,163.3
452,54,6790,5.59,141.7
453,45,7310,1.45,87.9
454,49,6635,2.02,120
455,52,6503,3.12,137.2
456,50,7608,2.51,93
457,53,6080,3.23,123.5
458,58,6620,3.21,109.9
459,43,4320,1.41,80.3
460,46,4432,2.89,99.9
461,50,4922,2.44,88.3
462,52,6848,3.56,100.6
463,54,5380,3.49,104.3
464,57,7433,5.23,184.9
465,46,5545,4.11,102.5
466,52,5643,2.75,114.6
467,42,4955,3.21,105.4
